,epoch,batch loss,batch acc,train loss,train acc,val loss,val acc
108,21,-1.6052777937147766e-05,0.25,,,,
109,21,,,7.694006399106001e-06,0.2109375,-1.943826828210149e-05,0.35
110,22,3.677458153106272e-05,0.1875,,,,
111,22,-3.259107324993238e-05,0.1875,,,,
112,22,-4.0770837586023845e-06,0.21875,,,,
113,22,6.355546793201938e-05,0.25,,,,
114,22,,,1.5915473113636835e-05,0.2109375,-6.529626989504322e-05,0.35
115,23,-7.941557851154357e-05,0.1875,,,,
116,23,-1.7343141735182144e-05,0.25,,,,
117,23,4.021371751150582e-06,0.1875,,,,
118,23,0.0003847604675684124,0.0,,,,
119,23,,,7.300577976820932e-05,0.15625,-9.045012120623142e-05,0.3
120,24,3.4428299841238186e-05,0.15625,,,,
121,24,4.523515599430539e-05,0.09375,,,,
122,24,-0.00010893836588365957,0.3125,,,,
